"gbif_valid_name","fb_sci_name","gbif_valid_key","gbif_synonym","GBIF_NC_records","GBIF_NC_n_cells_01"
"Anampses lennardi","Anampses lennardi",2383480,FALSE,289,154
"Anampses lineatus","Anampses lineatus",2383476,FALSE,66,31
"Anampses melanurus","Anampses melanurus",8383816,FALSE,239,96
"Anampses meleagrides","Anampses meleagrides",2383481,FALSE,579,267
"Anampses neoguinaicus","Anampses neoguinaicus",2383489,FALSE,737,211
"Anampses twistii","Anampses twistii",2383491,FALSE,1225,282
"Anarrhichthys ocellatus","Anarrhichthys ocellatus",2392219,FALSE,565,288
"Anisotremus caesius","Anisotremus caesius",2382606,FALSE,63,39
"Anisotremus davidsonii","Anisotremus davidsonii",2382611,FALSE,390,56
"Anisotremus interruptus","Anisotremus interruptus",2382602,FALSE,117,75
"Anisotremus scapularis","Anisotremus scapularis",2382608,FALSE,89,23
"Anisotremus surinamensis","Anisotremus surinamensis",2382615,FALSE,1022,190
"Anisotremus taeniatus","Anisotremus taeniatus",2382601,FALSE,116,64
"Anisotremus virginicus","Anisotremus virginicus",2382596,FALSE,7253,371
"Anoplocapros amygdaloides","Anoplocapros amygdaloides",2408014,FALSE,218,46
"Anoplocapros inermis","Anoplocapros inermis",2408010,FALSE,1807,193
"Anoplocapros lenticularis","Anoplocapros lenticularis",2408015,FALSE,602,325
"Anyperodon leucogrammicus","Anyperodon leucogrammicus",2387816,FALSE,430,255
"Aphareus furca","Aphareus furca",5209911,FALSE,4145,558
"Aphareus rutilans","Aphareus rutilans",5209907,FALSE,81,49
"Aploactisoma milesii","Aploactisoma milesii",2336964,FALSE,168,27
"Aplodactylus arctidens","Aplodactylus arctidens",2394719,FALSE,934,217
"Aplodactylus etheridgii","Aplodactylus etheridgii",2394717,FALSE,159,30
"Aplodactylus lophodon","Aplodactylus lophodon",2394713,FALSE,1258,100
"Aplodactylus westralis","Aplodactylus westralis",2394720,FALSE,55,27
"Apogon atradorsatus","Apogon atradorsatus",5211623,FALSE,128,39
"Apogon atricaudus","Apogon atricaudus",5211572,FALSE,18,15
"Apogon binotatus","Apogon binotatus",5211786,FALSE,183,50
"Apogon dovii","Apogon dovii",7977144,FALSE,55,27
"Apogon imberbis","Apogon imberbis",5211775,FALSE,3063,452
"Apogon lachneri","Apogon lachneri",5211678,FALSE,28,19
"Apogon maculatus","Apogon maculatus",5211761,FALSE,334,98
"Apogon pacificus","Apogon pacificus",5211804,FALSE,128,43
"Apogon retrosella","Apogon retrosella",5211603,FALSE,92,35
"Apogon townsendi","Apogon townsendi",5211780,FALSE,133,61
"Apogonichthyoides timorensis","Apogonichthyoides timorensis",5962047,FALSE,9,8
"Apolemichthys trimaculatus","Apolemichthys trimaculatus",2396564,FALSE,808,274
"Aprion virescens","Aprion virescens",2385226,FALSE,2788,641
"Aracana aurita","Aracana aurita",2408028,FALSE,1336,506
"Aracana ornata","Aracana ornata",2408032,FALSE,537,193
"Archamia bleekeri","Archamia bleekeri",2397400,FALSE,8,8
"Arcos poecilophthalmos","Arcos poecilophthalmos",2411349,FALSE,1,1
"Arenigobius frenatus","Arenigobius frenatus",2379315,FALSE,149,25
"Argyrosomus hololepidotus","Argyrosomus hololepidotus",5212442,FALSE,548,196
"Argyrosomus japonicus","Argyrosomus japonicus",5212440,FALSE,21758,165
"Arothron caeruleopunctatus","Arothron caeruleopunctatus",2407361,FALSE,133,92
"Arothron diadematus","Arothron diadematus",2407403,FALSE,340,89
"Arothron hispidus","Arothron hispidus",2407378,FALSE,2169,855
"Arothron inconditus","Arothron inconditus",2407399,FALSE,18,16
"Arothron manilensis","Arothron manilensis",2407348,FALSE,390,144
"Arothron mappa","Arothron mappa",2407375,FALSE,436,219
"Arothron meleagris","Arothron meleagris",2407418,FALSE,1647,471
"Arothron nigropunctatus","Arothron nigropunctatus",2407394,FALSE,1302,590
"Arothron stellatus","Arothron stellatus",2407362,FALSE,865,472
"Arripis georgiana","Arripis georgiana",2380577,FALSE,1,1
"Arripis trutta","Arripis trutta",2380565,FALSE,3973,1022
"Arripis truttacea","Arripis truttacea",2380580,FALSE,323,110
"Arripis xylabion","Arripis xylabion",2380579,FALSE,17,5
"Artedius harringtoni","Artedius harringtoni",2333963,FALSE,291,64
"Aspasmogaster tasmaniensis","Aspasmogaster tasmaniensis",2411599,FALSE,43,28
"Aspidontus dussumieri","Aspidontus dussumieri",2395719,FALSE,117,54
"Aspidontus taeniatus","Aspidontus taeniatus",2395713,FALSE,241,132
"Assessor flavissimus","Assessor flavissimus",2389770,FALSE,86,37
"Assessor macneilli","Assessor macneilli",2389771,FALSE,283,102
"Assessor randalli","Assessor randalli",2389773,FALSE,6,5
"Assiculus punctatus","Assiculus punctatus",2381596,FALSE,4,3
"Asterropteryx striata","Asterropteryx striata",2378141,FALSE,48,32
"Atherina hepsetus","Atherina hepsetus",2411943,FALSE,197,109
"Atherina presbyter","Atherina presbyter",2411945,FALSE,3225,319
"Atherinomorus vaigiensis","Atherinomorus vaigiensis",2411855,FALSE,286,36
"Atractoscion aequidens","Atractoscion aequidens",2400366,FALSE,138,102
"Atrosalarias holomelas","Atrosalarias holomelas",5961991,FALSE,117,60
"Atule mate","Atule mate",2390522,FALSE,996,592
"Atypichthys latus","Atypichthys latus",2381269,FALSE,186,30
"Atypichthys strigatus","Atypichthys strigatus",2381270,FALSE,2917,265
"Aulacocephalus temminckii","Aulacocephalus temminckii",5210151,FALSE,44,27
"Aulorhynchus flavidus","Aulorhynchus flavidus",2356481,FALSE,144,65
"Austrolabrus maculatus","Austrolabrus maculatus",2383954,FALSE,1690,205
"Axoclinus cocoensis","Axoclinus cocoensis",2392842,FALSE,4,3
"Axoclinus lucillae","Axoclinus lucillae",2392845,FALSE,17,11
"Axoclinus multicinctus","Axoclinus multicinctus",2392847,FALSE,1,1
"Axoclinus rubinoffi","Axoclinus rubinoffi",2392846,FALSE,1,1
"Azurina eupalama","Azurina eupalama",2399200,FALSE,1,1
"Balistapus undulatus","Balistapus undulatus",2407167,FALSE,6270,837
"Balistes capriscus","Balistes capriscus",2407107,FALSE,2555,1108
"Balistes polylepis","Balistes polylepis",2407118,FALSE,453,219
"Balistes punctatus","Balistes punctatus",2407121,FALSE,70,64
"Balistes vetula","Balistes vetula",2407103,FALSE,1034,318
"Balistoides conspicillum","Balistoides conspicillum",2407129,FALSE,1121,613
"Balistoides viridescens","Balistoides viridescens",2407133,FALSE,2096,718
"Bathygobius krefftii","Bathygobius krefftii",2377106,FALSE,277,47
"Bathygobius lineatus","Bathygobius lineatus",2377085,FALSE,67,18
"Bathystethus cultratus","Bathystethus cultratus",2381250,FALSE,16,10
"Batrachoides boulengeri","Batrachoides boulengeri",5203932,FALSE,1,1
"Belone belone","Belone belone",2369178,FALSE,4926,605
"Belonoperca chabanaudi","Belonoperca chabanaudi",2387698,FALSE,87,70
"Blenniella chrysospilos","Blenniella chrysospilos",2395905,FALSE,104,78
"Bodianus albotaeniatus","Bodianus albotaeniatus",5788085,FALSE,2605,211
"Bodianus anthioides","Bodianus anthioides",5209716,FALSE,303,126
"Bodianus axillaris","Bodianus axillaris",5209666,FALSE,1552,466
"Bodianus bilunulatus","Bodianus bilunulatus",5209697,FALSE,329,130
"Bodianus diana","Bodianus diana",5209719,FALSE,320,146
"Bodianus dictynna","Bodianus dictynna",5209723,FALSE,253,127
"Bodianus diplotaenia","Bodianus diplotaenia",5209721,FALSE,1289,237
"Bodianus eclancheri","Bodianus eclancheri",5209724,FALSE,65,21
"Bodianus frenchii","Bodianus frenchii",5209673,FALSE,549,105
"Bodianus loxozonus","Bodianus loxozonus",5209683,FALSE,636,159
"Bodianus mesothorax","Bodianus mesothorax",5209690,FALSE,468,264
"Bodianus perditio","Bodianus perditio",5209711,FALSE,358,167
"Bodianus rufus","Bodianus rufus",5209687,FALSE,7297,380
"Bodianus scrofa","Bodianus scrofa",5209705,FALSE,176,61
"Bodianus unimaculatus","Bodianus unimaculatus",5209675,FALSE,333,83
"Bolbometopon muricatum","Bolbometopon muricatum",2393443,FALSE,487,255
"Boops boops","Boops boops",5210955,FALSE,3753,680
"Boopsoidea inornata","Boopsoidea inornata",2392688,FALSE,193,38
"Boreogadus saida","Boreogadus saida",2415752,FALSE,10022,5723
"Bothragonus occidentalis","Bothragonus occidentalis",2337161,FALSE,1,1
"Bovichtus angustifrons","Bovichtus angustifrons",2398020,FALSE,416,129
"Bovichtus argentinus","Bovichtus argentinus",2398035,FALSE,15,10
"Brachaluteres jacksonianus","Brachaluteres jacksonianus",2406792,FALSE,1492,118
"Brachionichthys hirsutus","Brachionichthys hirsutus",9496661,FALSE,164,17
"Brachyistius frenatus","Brachyistius frenatus",2389277,FALSE,297,61
"Bryaninops amplus","Bryaninops amplus",2375634,FALSE,51,38
"Bryaninops erythrops","Bryaninops erythrops",2375626,FALSE,8,7
"Bryaninops natans","Bryaninops natans",2375632,FALSE,94,69
"Bryaninops nexus","Bryaninops nexus",2375623,FALSE,1,1
"Bryaninops yongei","Bryaninops yongei",2375637,FALSE,239,142
"Caesio caerulaurea","Caesio caerulaurea",2374779,FALSE,797,404
"Caesio cuning","Caesio cuning",2374789,FALSE,1045,412
"Caesio lunaris","Caesio lunaris",2374772,FALSE,321,178
"Caesio striata","Caesio striata",2374786,FALSE,72,39
"Caesio suevica","Caesio suevica",2374777,FALSE,97,40
"Caesio teres","Caesio teres",2374798,FALSE,1274,385
"Caesio varilineata","Caesio varilineata",2374775,FALSE,128,34
"Caesio xanthonota","Caesio xanthonota",2374795,FALSE,131,75
"Caesioperca lepidoptera","Caesioperca lepidoptera",2388652,FALSE,1068,452
"Caesioperca rasor","Caesioperca rasor",2388648,FALSE,1060,210
"Caesioscorpis theagenes","Caesioscorpis theagenes",2388679,FALSE,70,18
"Caffrogobius nudiceps","Caffrogobius nudiceps",2376940,FALSE,101,27
"Calamus bajonado","Calamus bajonado",5211005,FALSE,303,99
"Calamus brachysomus","Calamus brachysomus",5211000,FALSE,72,52
"Calamus calamus","Calamus calamus",5210995,FALSE,7716,185
"Calamus pennatula","Calamus pennatula",5211001,FALSE,150,63
"Calamus taurinus","Calamus taurinus",5211006,FALSE,10,9
"Callanthias australis","Callanthias australis",2384674,FALSE,527,231
"Calliclinus geniguttatus","Calliclinus geniguttatus",2389576,FALSE,11,8
"Callionymus comptus","Callionymus comptus",2386942,FALSE,3,2
"Callionymus lyra","Callionymus lyra",2386906,FALSE,9474,1621
"Calloplesiops altivelis","Calloplesiops altivelis",2389714,FALSE,67,47
"Calotomus carolinus","Calotomus carolinus",2393870,FALSE,1904,402
"Calotomus japonicus","Calotomus japonicus",2393858,FALSE,23,9
"Calotomus spinidens","Calotomus spinidens",2393855,FALSE,331,36
"Calotomus viridescens","Calotomus viridescens",2393854,FALSE,124,43
"Cantherhines dumerilii","Cantherhines dumerilii",2406972,FALSE,1746,421
"Cantherhines fronticinctus","Cantherhines fronticinctus",2407001,FALSE,68,50
"Cantherhines longicaudus","Cantherhines longicaudus",2406947,FALSE,4,3
"Cantherhines macrocerus","Cantherhines macrocerus",2406957,FALSE,902,236
"Cantherhines pardalis","Cantherhines pardalis",2406982,FALSE,1401,363
"Cantherhines pullus","Cantherhines pullus",2406961,FALSE,1158,269
"Cantherhines sandwichiensis","Cantherhines sandwichiensis",2406996,FALSE,435,146
"Cantheschenia grandisquamis","Cantheschenia grandisquamis",2406942,FALSE,73,19
"Canthidermis maculata","Canthidermis maculata",2407067,FALSE,874,814
"Canthidermis sufflamen","Canthidermis sufflamen",2407087,FALSE,833,184
"Canthigaster amboinensis","Canthigaster amboinensis",2407681,FALSE,891,254
"Canthigaster axiologus","Canthigaster axiologus",2407729,FALSE,68,48
"Canthigaster bennetti","Canthigaster bennetti",2407713,FALSE,394,181
"Canthigaster callisterna","Canthigaster callisterna",2407725,FALSE,339,69
"Canthigaster capistrata","Canthigaster capistrata",2407707,FALSE,339,69
"Canthigaster coronata","Canthigaster coronata",2407727,FALSE,576,167
"Canthigaster cyanetron","Canthigaster cyanetron",2407709,FALSE,1,1
"Canthigaster epilampra","Canthigaster epilampra",2407696,FALSE,64,44
"Canthigaster figueiredoi","Canthigaster figueiredoi",2407732,FALSE,13,9
"Canthigaster jactator","Canthigaster jactator",2407656,FALSE,2689,218
"Canthigaster janthinoptera","Canthigaster janthinoptera",2407658,FALSE,272,162
"Canthigaster marquesensis","Canthigaster marquesensis",2407655,FALSE,1,1
"Canthigaster papua","Canthigaster papua",2407703,FALSE,327,165
"Canthigaster punctatissima","Canthigaster punctatissima",2407649,FALSE,535,150
"Canthigaster rapaensis","Canthigaster rapaensis",2407679,FALSE,1,1
"Canthigaster rivulata","Canthigaster rivulata",2407667,FALSE,190,138
"Canthigaster rostrata","Canthigaster rostrata",2407665,FALSE,9949,393
"Canthigaster sanctaehelenae","Canthigaster sanctaehelenae",2407663,FALSE,1,1
"Canthigaster smithae","Canthigaster smithae",2407644,FALSE,59,28
"Canthigaster valentini","Canthigaster valentini",2407698,FALSE,1610,563
"Caprodon longimanus","Caprodon longimanus",2388115,FALSE,373,138
"Caracanthus maculatus","Caracanthus maculatus",2336942,FALSE,472,91
"Caracanthus typicus","Caracanthus typicus",2336951,FALSE,93,62
"Caracanthus unipinna","Caracanthus unipinna",2336944,FALSE,76,24
"Carangoides bajad","Carangoides bajad",5210537,FALSE,81,50
"Carangoides bartholomaei","Caranx bartholomaei",5210553,TRUE,1982,300
"Carangoides chrysophrys","Carangoides chrysophrys",5210557,FALSE,991,509
"Carangoides ferdau","Carangoides ferdau",5210560,FALSE,1547,288
"Carangoides fulvoguttatus","Carangoides fulvoguttatus",5210529,FALSE,3221,472
"Carangoides gymnostethus","Carangoides gymnostethus",5210542,FALSE,1160,501
"Carangoides orthogrammus","Ferdauia orthogrammus",5210572,TRUE,891,308
"Carangoides plagiotaenia","Carangoides plagiotaenia",5210536,FALSE,135,65
"Caranx caballus","Caranx caballus",2390774,FALSE,255,116
"Caranx caninus","Caranx caninus",2390813,FALSE,163,100
"Caranx crysos","Caranx crysos",2390762,FALSE,2646,1144
"Caranx ignobilis","Caranx ignobilis",2390805,FALSE,5093,821
"Caranx lugubris","Caranx lugubris",2390836,FALSE,1064,295
"Caranx melampygus","Caranx melampygus",2390750,FALSE,5192,1012
"Caranx papuensis","Caranx papuensis",2390831,FALSE,642,289
"Caranx sexfasciatus","Caranx sexfasciatus",2390776,FALSE,1089,554
"Caulolatilus princeps","Caulolatilus princeps",2389841,FALSE,112,59
"Centroberyx affinis","Centroberyx affinis",2356624,FALSE,2381,610
"Centroberyx gerrardi","Centroberyx gerrardi",2356626,FALSE,1992,567
"Centroberyx lineatus","Centroberyx lineatus",2356631,FALSE,947,589
"Centrogenys vaigiensis","Centrogenys vaigiensis",2396363,FALSE,76,48
"Centrolabrus exoletus","Centrolabrus exoletus",2383720,FALSE,3773,626
"Centrolabrus melanocercus","Centrolabrus melanocercus",9632251,FALSE,939,140
"Centropogon australis","Centropogon australis",2335165,FALSE,1091,104
"Centropyge acanthops","Centropyge acanthops",2396533,FALSE,38,26
"Centropyge argi","Centropyge argi",2396546,FALSE,155,78
"Centropyge bicolor","Centropyge bicolor",2396484,FALSE,950,343
"Centropyge bispinosa","Centropyge bispinosa",2396495,FALSE,1594,313
"Centropyge eibli","Centropyge eibli",2396518,FALSE,114,44
"Centropyge ferrugata","Centropyge ferrugata",2396542,FALSE,15,10
"Centropyge fisheri","Centropyge fisheri",2396483,FALSE,279,146
"Centropyge flavissima","Centropyge flavissima",2396499,FALSE,4772,326
"Centropyge heraldi","Centropyge heraldi",2396551,FALSE,649,134
"Centropyge hotumatua","Centropyge hotumatua",2396486,FALSE,20,5
"Centropyge joculator","Centropyge joculator",2396526,FALSE,16,5
"Centropyge loriculus","Centropyge loriculus",2396548,FALSE,1756,165
"Centropyge multispinis","Centropyge multispinis",2396554,FALSE,195,98
"Centropyge nox","Centropyge nox",2396527,FALSE,51,38
"Centropyge tibicen","Centropyge tibicen",2396505,FALSE,604,188
"Cephalopholis argus","Cephalopholis argus",2388891,FALSE,6511,951
"Cephalopholis boenak","Cephalopholis boenak",2388825,FALSE,831,372
"Cephalopholis cruentata","Cephalopholis cruentata",2388866,FALSE,8843,370
"Cephalopholis cyanostigma","Cephalopholis cyanostigma",2388876,FALSE,1314,300
"Cephalopholis formosa","Cephalopholis formosa",2388839,FALSE,99,64
"Cephalopholis fulva","Cephalopholis fulva",2388809,FALSE,2155,312
"Cephalopholis hemistiktos","Cephalopholis hemistiktos",2388914,FALSE,125,72
"Cephalopholis leopardus","Cephalopholis leopardus",2388841,FALSE,454,158
"Cephalopholis microprion","Cephalopholis microprion",2388881,FALSE,219,87
"Cephalopholis miniata","Cephalopholis miniata",2388916,FALSE,1412,449
"Cephalopholis panamensis","Cephalopholis panamensis",2388821,FALSE,728,158
"Cephalopholis sexmaculata","Cephalopholis sexmaculata",2388884,FALSE,201,130
"Cephalopholis sonnerati","Cephalopholis sonnerati",2388927,FALSE,205,91
"Cephalopholis spiloparaea","Cephalopholis spiloparaea",2388857,FALSE,282,116
"Cephalopholis urodeta","Cephalopholis urodeta",2388937,FALSE,5323,615
